Word 1,Word 2,Length,Difficulty Score,Difficulty Class
delos,soled,5,0.9649,Very Hard
abas,saba,4,0.9659,Very Hard
stu,uts,3,0.966,Very Hard
hales,selah,5,0.9675,Very Hard
oat,tao,3,0.9676,Very Hard
arb,bra,3,0.9685,Very Hard
dahs,shad,4,0.9716,Very Hard
grus,surg,4,0.9722,Very Hard
aryl,lyra,4,0.9734,Very Hard
pes,sep,3,0.9744,Very Hard
ayr,rya,3,0.9752,Very Hard
pols,slop,4,0.9796,Very Hard
desserts,stressed,8,0.9798,Very Hard
ait,tia,3,0.9811,Very Hard
aril,lira,4,0.9831,Very Hard
darter,retrad,6,0.9859,Very Hard
avid,diva,4,0.9884,Very Hard
poons,snoop,5,0.9888,Very Hard
anal,lana,4,0.9913,Very Hard
doh,hod,3,0.9914,Very Hard
saps,spas,4,0.9919,Very Hard
smut,tums,4,0.9922,Very Hard
knaps,spank,5,0.9937,Very Hard
bod,dob,3,0.9958,Very Hard
rebut,tuber,5,0.9963,Very Hard
camus,sumac,5,0.998,Very Hard
deffer,reffed,6,1.0,Insane
dialer,relaid,6,1.0,Insane
eviler,relive,6,1.0,Insane
looter,retool,6,1.0,Insane
recaps,spacer,6,1.0,Insane
rennet,tenner,6,1.0,Insane
sleets,steels,6,1.0,Insane
sprits,stirps,6,1.0,Insane
airts,stria,5,1.0,Insane
dedal,laded,5,1.0,Insane
marcs,scram,5,1.0,Insane
nonet,tenon,5,1.0,Insane
pacer,recap,5,1.0,Insane
resat,taser,5,1.0,Insane
sakis,sikas,5,1.0,Insane
sprat,tarps,5,1.0,Insane
stows,swots,5,1.0,Insane
abut,tuba,4,1.0,Insane
auks,skua,4,1.0,Insane
bots,stob,4,1.0,Insane
gorp,prog,4,1.0,Insane
macs,scam,4,1.0,Insane
oohs,shoo,4,1.0,Insane
pees,seep,4,1.0,Insane
prat,tarp,4,1.0,Insane
spay,yaps,4,1.0,Insane
stet,tets,4,1.0,Insane
swat,taws,4,1.0,Insane
swot,tows,4,1.0,Insane
atp,pta,3,1.0,Insane
cav,vac,3,1.0,Insane
dep,ped,3,1.0,Insane
duh,hud,3,1.0,Insane
dup,pud,3,1.0,Insane
gro,org,3,1.0,Insane
isp,psi,3,1.0,Insane
kor,rok,3,1.0,Insane
mho,ohm,3,1.0,Insane
pow,wop,3,1.0,Insane
