"Word 1","Word 2","Length","Difficulty Score","Difficulty Class","Theme"
"pupils","slipup","6","","Easy","Emotional Rollercoaster"
"nip","pin","3","","Easy","Body Language"
"pat","tap","3","","Easy","Sound Effects"
"rat","tar","3","","Easy","Gross Out!"
"cam","mac","3","","Easy","Internet Culture"
"min","nim","3","","Easy","Weird Science"
"gem","meg","3","","Easy","Internet Culture"
"snot","tons","4","","Easy","Gross Out!"
"mat","tam","3","","Easy","Internet Culture"
"gum","mug","3","","Easy","Body Language"
"bus","sub","3","","Easy","Heavy Machinery"
"bur","rub","3","","Easy","Heavy Machinery"
"mils","slim","4","","Easy","Heavy Machinery"
"maws","swam","4","","Easy","Body Language"
"bats","stab","4","","Easy","Gross Out!"
"maps","spam","4","","Easy","Internet Culture"
"bat","tab","3","","Easy","Fashion Disasters"
"pins","snip","4","","Easy","Heavy Machinery"
"flog","golf","4","","Easy","Sound Effects"
"pals","slap","4","","Easy","A Bit Insulting"
"paws","swap","4","","Easy","Internet Culture"
"burg","grub","4","","Easy","Food Coma"
"keel","leek","4","","Easy","Nautical Nonsense"
"ban","nab","3","","Easy","A Bit Insulting"
"gulp","plug","4","","Easy","Sound Effects"
"gat","tag","3","","Easy","Heavy Machinery"
"bro","orb","3","","Easy","Fashion Disasters"
"bonk","knob","4","","Easy","Body Language"
"dap","pad","3","","Easy","Sound Effects"
"mart","tram","4","","Easy","Heavy Machinery"
"duo","oud","3","","Easy","Weird Science"
"bal","lab","3","","Easy","Home Sweet Home"
"ergo","ogre","4","","Easy","A Bit Insulting"
"kay","yak","3","","Easy","Nautical Nonsense"
"ger","reg","3","","Easy","Emotional Rollercoaster"
"demit","timed","5","","Easy","Emotional Rollercoaster"
"nuts","stun","4","","Easy","Gross Out!"
"pst","tsp","3","","Easy","Sound Effects"
"mop","pom","3","","Easy","A Bit Insulting"
"civ","vic","3","","Easy","Emotional Rollercoaster"
"bros","sorb","4","","Easy","Home Sweet Home"
"sports","strops","6","","Easy","Internet Culture"
"loots","stool","5","","Easy","Gross Out!"
"buts","stub","4","","Easy","Fashion Disasters"
"denim","mined","5","","Easy","Weird Science"
"oat","tao","3","","Easy","Food Coma"
"pes","sep","3","","Easy","Grammar Police"
"avid","diva","4","","Easy","Emotional Rollercoaster"
"doh","hod","3","","Easy","Sound Effects"
"bod","dob","3","","Easy","A Bit Insulting"
"pacer","recap","5","","Easy","Weird Science"
"macs","scam","4","","Easy","Internet Culture"
"oohs","shoo","4","","Easy","Sound Effects"
"pees","seep","4","","Easy","Gross Out!"
"spay","yaps","4","","Easy","Gross Out!"
"cav","vac","3","","Easy","Nautical Nonsense"
"dep","ped","3","","Easy","Heavy Machinery"
"duh","hud","3","","Easy","A Bit Insulting"
"dup","pud","3","","Easy","Food Coma"
"not","ton","3","","Medium","Heavy Machinery"
"are","era","3","","Medium","Emotional Rollercoaster"
"but","tub","3","","Medium","Food Coma"
"man","nam","3","","Medium","Emotional Rollercoaster"
"der","red","3","","Medium","A Bit Insulting"
"def","fed","3","","Medium","A Bit Insulting"
"nos","son","3","","Medium","Gross Out!"
"emos","some","4","","Medium","Emotional Rollercoaster"
"let","tel","3","","Medium","Internet Culture"
"den","ned","3","","Medium","Body Language"
"raw","war","3","","Medium","Food Coma"
"way","yaw","3","","Medium","Nautical Nonsense"
"moor","room","4","","Medium","Home Sweet Home"
"pas","sap","3","","Medium","Weird Science"
"dem","med","3","","Medium","Internet Culture"
"par","rap","3","","Medium","Sound Effects"
"mon","nom","3","","Medium","Food Coma"
"mot","tom","3","","Medium","Emotional Rollercoaster"
"dial","laid","4","","Medium","Grammar Police"
"air","ria","3","","Medium","Nautical Nonsense"
"parts","strap","5","","Medium","Heavy Machinery"
"spot","tops","4","","Medium","Emotional Rollercoaster"
"pots","stop","4","","Medium","Heavy Machinery"
"draw","ward","4","","Medium","Grammar Police"
"pets","step","4","","Medium","Animal Kingdom"
"peels","sleep","5","","Medium","Emotional Rollercoaster"
"dam","mad","3","","Medium","Gross Out!"
"lit","til","3","","Medium","Grammar Police"
"mus","sum","3","","Medium","Weird Science"
"dir","rid","3","","Medium","Heavy Machinery"
"drawer","reward","6","","Medium","Fashion Disasters"
"edit","tide","4","","Medium","Weird Science"
"deeps","speed","5","","Medium","Nautical Nonsense"
"aim","mia","3","","Medium","Sound Effects"
"lias","sail","4","","Medium","Nautical Nonsense"
"kcal","lack","4","","Medium","Weird Science"
"spots","stops","5","","Medium","Gross Out!"
"dray","yard","4","","Medium","Heavy Machinery"
"eros","sore","4","","Medium","Emotional Rollercoaster"
"ben","neb","3","","Medium","A Bit Insulting"
"bid","dib","3","","Medium","Food Coma"
"nat","tan","3","","Medium","Animal Kingdom"
"lion","noil","4","","Medium","Gross Out!"
"drag","gard","4","","Medium","Heavy Machinery"
"deg","ged","3","","Medium","Weird Science"
"taw","wat","3","","Medium","Nautical Nonsense"
"spit","tips","4","","Medium","Sound Effects"
"tort","trot","4","","Medium","Fashion Disasters"
"nut","tun","3","","Medium","Food Coma"
"dot","tod","3","","Medium","Animal Kingdom"
"pans","snap","4","","Medium","Sound Effects"
"pools","sloop","5","","Medium","Nautical Nonsense"
"ports","strop","5","","Medium","Heavy Machinery"
"loot","tool","4","","Medium","Food Coma"
"dort","trod","4","","Medium","Body Language"
"sway","yaws","4","","Medium","Emotional Rollercoaster"
"rot","tor","3","","Medium","Gross Out!"
"gen","neg","3","","Medium","Internet Culture"
"jar","raj","3","","Medium","Weird Science"
"bud","dub","3","","Medium","Body Language"
"hoop","pooh","4","","Medium","Fashion Disasters"
"dart","trad","4","","Medium","Sound Effects"
"cos","soc","3","","Medium","Internet Culture"
"leer","reel","4","","Medium","Body Language"
"cit","tic","3","","Medium","Grammar Police"
"enol","lone","4","","Medium","Weird Science"
"daw","wad","3","","Medium","Gross Out!"
"gam","mag","3","","Medium","Internet Culture"
"lav","val","3","","Medium","Gross Out!"
"tow","wot","3","","Medium","Heavy Machinery"
"nips","spin","4","","Medium","Emotional Rollercoaster"
"gal","lag","3","","Medium","Internet Culture"
"naps","span","4","","Medium","Emotional Rollercoaster"
"etas","sate","4","","Medium","Food Coma"
"ajar","raja","4","","Medium","Animal Kingdom"
"keels","sleek","5","","Medium","Animal Kingdom"
"gats","stag","4","","Medium","Animal Kingdom"
"stew","wets","4","","Medium","Food Coma"
"gnaw","wang","4","","Medium","Animal Kingdom"
"snoops","spoons","6","","Medium","Animal Kingdom"
"decal","laced","5","","Medium","Fashion Disasters"
"brag","garb","4","","Medium","Fashion Disasters"
"dual","laud","4","","Medium","Grammar Police"
"corp","proc","4","","Medium","Weird Science"
"gals","slag","4","","Medium","Animal Kingdom"
"cram","marc","4","","Medium","Food Coma"
"reit","tier","4","","Medium","Weird Science"
"loops","spool","5","","Medium","Fashion Disasters"
"buns","snub","4","","Medium","Body Language"
"snit","tins","4","","Medium","Emotional Rollercoaster"
"lop","pol","3","","Medium","Heavy Machinery"
"fao","oaf","3","","Medium","A Bit Insulting"
"reknit","tinker","6","","Medium","Weird Science"
"knits","stink","5","","Medium","Food Coma"
"dorp","prod","4","","Medium","Nautical Nonsense"
"gnat","tang","4","","Medium","Animal Kingdom"
"darg","grad","4","","Medium","Weird Science"
"gnats","stang","5","","Medium","Animal Kingdom"
"snips","spins","5","","Medium","Fashion Disasters"
"giro","orig","4","","Medium","Weird Science"
"lees","seel","4","","Medium","Weird Science"
"stat","tats","4","","Medium","Weird Science"
"delos","soled","5","","Medium","Weird Science"
"arb","bra","3","","Medium","Home Sweet Home"
"dahs","shad","4","","Medium","Animal Kingdom"
"pols","slop","4","","Medium","Fashion Disasters"
"aril","lira","4","","Medium","Weird Science"
"poons","snoop","5","","Medium","Internet Culture"
"saps","spas","4","","Medium","Body Language"
"smut","tums","4","","Medium","Gross Out!"
"rebut","tuber","5","","Medium","Grammar Police"
"dialer","relaid","6","","Medium","Heavy Machinery"
"eviler","relive","6","","Medium","Emotional Rollercoaster"
"looter","retool","6","","Medium","Heavy Machinery"
"recaps","spacer","6","","Medium","Grammar Police"
"rennet","tenner","6","","Medium","Food Coma"
"sprits","stirps","6","","Medium","Animal Kingdom"
"marcs","scram","5","","Medium","Home Sweet Home"
"nonet","tenon","5","","Medium","Weird Science"
"resat","taser","5","","Medium","Heavy Machinery"
"sprat","tarps","5","","Medium","Animal Kingdom"
"stows","swots","5","","Medium","Body Language"
"gorp","prog","4","","Medium","Food Coma"
"prat","tarp","4","","Medium","A Bit Insulting"
"swat","taws","4","","Medium","Sound Effects"
"swot","tows","4","","Medium","Body Language"
"gro","org","3","","Medium","Internet Culture"
"and","dna","3","","Hard","Grammar Police"
"dias","said","4","","Hard","Grammar Police"
"del","led","3","","Hard","Grammar Police"
"devil","lived","5","","Hard","Emotional Rollercoaster"
"deep","peed","4","","Hard","Body Language"
"mir","rim","3","","Hard","Nautical Nonsense"
"guns","snug","4","","Hard","Body Language"
"mas","sam","3","","Hard","Home Sweet Home"
"han","nah","3","","Hard","Emotional Rollercoaster"
"flow","wolf","4","","Hard","Nautical Nonsense"
"rats","star","4","","Hard","Animal Kingdom"
"knar","rank","4","","Hard","Heavy Machinery"
"dine","enid","4","","Hard","Food Coma"
"dan","nad","3","","Hard","Animal Kingdom"
"liar","rail","4","","Hard","A Bit Insulting"
"fires","serif","5","","Hard","Grammar Police"
"draws","sward","5","","Hard","Home Sweet Home"
"dig","gid","3","","Hard","Home Sweet Home"
"decaf","faced","5","","Hard","Food Coma"
"smart","trams","5","","Hard","Internet Culture"
"deem","meed","4","","Hard","Grammar Police"
"lever","revel","5","","Hard","Heavy Machinery"
"bor","rob","3","","Hard","Heavy Machinery"
"trow","wort","4","","Hard","Body Language"
"bah","hab","3","","Hard","A Bit Insulting"
"dar","rad","3","","Hard","Animal Kingdom"
"gan","nag","3","","Hard","Animal Kingdom"
"jam","maj","3","","Hard","Food Coma"
"bard","drab","4","","Hard","Fashion Disasters"
"leper","repel","5","","Hard","Gross Out!"
"lager","regal","5","","Hard","Food Coma"
"depot","toped","5","","Hard","Heavy Machinery"
"dom","mod","3","","Hard","Fashion Disasters"
"cal","lac","3","","Hard","Food Coma"
"spat","taps","4","","Hard","Sound Effects"
"diaper","repaid","6","","Hard","Home Sweet Home"
"fret","terf","4","","Hard","Emotional Rollercoaster"
"denies","seined","6","","Hard","Internet Culture"
"avis","siva","4","","Hard","Animal Kingdom"
"ailed","delia","5","","Hard","Body Language"
"remit","timer","5","","Hard","Home Sweet Home"
"raps","spar","4","","Hard","Sound Effects"
"gums","smug","4","","Hard","Gross Out!"
"lair","rial","4","","Hard","Home Sweet Home"
"emir","rime","4","","Hard","Animal Kingdom"
"flor","rolf","4","","Hard","Home Sweet Home"
"ante","etna","4","","Hard","Home Sweet Home"
"debut","tubed","5","","Hard","Home Sweet Home"
"redraw","warder","6","","Hard","Home Sweet Home"
"retros","sorter","6","","Hard","Internet Culture"
"laver","reval","5","","Hard","Home Sweet Home"
"gram","marg","4","","Hard","Weird Science"
"grus","surg","4","","Hard","Weird Science"
"aryl","lyra","4","","Hard","Fashion Disasters"
"ait","tia","3","","Hard","Body Language"
"darter","retrad","6","","Hard","Animal Kingdom"
"anal","lana","4","","Hard","Gross Out!"
"knaps","spank","5","","Hard","Body Language"
"deffer","reffed","6","","Hard","Grammar Police"
"sleets","steels","6","","Hard","Home Sweet Home"
"abut","tuba","4","","Hard","Home Sweet Home"
"auks","skua","4","","Hard","Animal Kingdom"
"stet","tets","4","","Hard","Grammar Police"
"isp","psi","3","","Hard","Weird Science"
"mho","ohm","3","","Hard","Weird Science"
"pos","sop","3","","Very Hard","Home Sweet Home"
"nor","ron","3","","Very Hard","Internet Culture"
"nus","sun","3","","Very Hard","Animal Kingdom"
"los","sol","3","","Very Hard","Nautical Nonsense"
"six","xis","3","","Very Hard","Internet Culture"
"secret","terces","6","","Very Hard","Emotional Rollercoaster"
"las","sal","3","","Very Hard","Home Sweet Home"
"animal","lamina","6","","Very Hard","Animal Kingdom"
"mos","som","3","","Very Hard","Animal Kingdom"
"notes","seton","5","","Very Hard","Home Sweet Home"
"mes","sem","3","","Very Hard","Internet Culture"
"deliver","reviled","7","","Very Hard","Grammar Police"
"ages","sega","4","","Very Hard","Grammar Police"
"ate","eta","3","","Very Hard","Animal Kingdom"
"fer","ref","3","","Very Hard","Grammar Police"
"straw","warts","5","","Very Hard","Home Sweet Home"
"harris","sirrah","6","","Very Hard","A Bit Insulting"
"pus","sup","3","","Very Hard","Gross Out!"
"lev","vel","3","","Very Hard","Weird Science"
"ark","kra","3","","Very Hard","Nautical Nonsense"
"amor","roma","4","","Very Hard","Emotional Rollercoaster"
"mut","tum","3","","Very Hard","Animal Kingdom"
"dag","gad","3","","Very Hard","Animal Kingdom"
"cor","roc","3","","Very Hard","Animal Kingdom"
"fir","rif","3","","Very Hard","Home Sweet Home"
"sonnet","tennos","6","","Very Hard","Emotional Rollercoaster"
"bog","gob","3","","Very Hard","Gross Out!"
"girt","trig","4","","Very Hard","Home Sweet Home"
"lin","nil","3","","Very Hard","Grammar Police"
"hap","pah","3","","Very Hard","Emotional Rollercoaster"
"langer","regnal","6","","Very Hard","A Bit Insulting"
"denier","reined","6","","Very Hard","Weird Science"
"ats","sta","3","","Very Hard","Grammar Police"
"feer","reef","4","","Very Hard","Nautical Nonsense"
"larum","mural","5","","Very Hard","Grammar Police"
"arak","kara","4","","Very Hard","Food Coma"
"agar","raga","4","","Very Hard","Weird Science"
"abas","saba","4","","Very Hard","Food Coma"
"hales","selah","5","","Very Hard","Grammar Police"
"ayr","rya","3","","Very Hard","Home Sweet Home"
"camus","sumac","5","","Very Hard","Home Sweet Home"
"airts","stria","5","","Very Hard","Grammar Police"
"dedal","laded","5","","Very Hard","Grammar Police"
"sakis","sikas","5","","Very Hard","Animal Kingdom"
"bots","stob","4","","Very Hard","Heavy Machinery"
"atp","pta","3","","Very Hard","Grammar Police"
"kor","rok","3","","Very Hard","Weird Science"
"dis","sid","3","","Insane","A Bit Insulting"
"stu","uts","3","","Insane","Home Sweet Home"
"pow","wop","3","","Insane","Sound Effects"
