Word 1,Word 2,Length,Difficulty Score,Difficulty Class
aron,nora,4,0.9091,Very Hard
corp,proc,4,0.9092,Very Hard
nev,ven,3,0.9099,Very Hard
mart,tram,4,0.9101,Very Hard
emir,rime,4,0.9103,Very Hard
gals,slag,4,0.9109,Very Hard
hap,pah,3,0.9123,Very Hard
cram,marc,4,0.9124,Very Hard
flor,rolf,4,0.9137,Very Hard
langer,regnal,6,0.9158,Very Hard
ante,etna,4,0.9165,Very Hard
reit,tier,4,0.9165,Very Hard
duo,oud,3,0.9169,Very Hard
bal,lab,3,0.9173,Very Hard
loops,spool,5,0.9175,Very Hard
denier,reined,6,0.9177,Very Hard
buns,snub,4,0.9181,Very Hard
andes,sedna,5,0.9191,Very Hard
ergo,ogre,4,0.9196,Very Hard
snit,tins,4,0.9207,Very Hard
annam,manna,5,0.9215,Very Hard
kurt,truk,4,0.9216,Very Hard
kay,yak,3,0.922,Very Hard
nader,redan,5,0.9224,Very Hard
ger,reg,3,0.9224,Very Hard
lop,pol,3,0.9253,Very Hard
debut,tubed,5,0.9274,Very Hard
redraw,warder,6,0.9275,Very Hard
ats,sta,3,0.9279,Very Hard
demit,timed,5,0.9284,Very Hard
anele,elena,5,0.9288,Very Hard
remus,sumer,5,0.9302,Very Hard
fao,oaf,3,0.9302,Very Hard
reknit,tinker,6,0.9308,Very Hard
nuts,stun,4,0.9344,Very Hard
eam,mae,3,0.9344,Very Hard
snaps,spans,5,0.9355,Very Hard
pst,tsp,3,0.9367,Very Hard
feer,reef,4,0.9372,Very Hard
knits,stink,5,0.9378,Very Hard
dorp,prod,4,0.9378,Very Hard
mop,pom,3,0.9383,Very Hard
hoo,ooh,3,0.9391,Very Hard
fiat,taif,4,0.9413,Very Hard
asset,tessa,5,0.9415,Very Hard
gnat,tang,4,0.943,Very Hard
darg,grad,4,0.9463,Very Hard
anil,lina,4,0.9471,Very Hard
retros,sorter,6,0.9474,Very Hard
civ,vic,3,0.9475,Very Hard
gnats,stang,5,0.9485,Very Hard
anas,sana,4,0.9486,Very Hard
bros,sorb,4,0.9495,Very Hard
bol,lob,3,0.9496,Very Hard
baas,saab,4,0.95,Very Hard
sports,strops,6,0.9503,Very Hard
samos,somas,5,0.9504,Very Hard
laver,reval,5,0.9505,Very Hard
iras,sari,4,0.9523,Very Hard
snips,spins,5,0.9539,Very Hard
larum,mural,5,0.9542,Very Hard
giro,orig,4,0.9545,Very Hard
loots,stool,5,0.9553,Very Hard
lees,seel,4,0.9556,Very Hard
sloops,spools,6,0.9559,Very Hard
gram,marg,4,0.9571,Very Hard
arak,kara,4,0.9576,Very Hard
arian,naira,5,0.9577,Very Hard
agar,raga,4,0.9592,Very Hard
buts,stub,4,0.9593,Very Hard
stat,tats,4,0.9598,Very Hard
denim,mined,5,0.9611,Very Hard
bun,nub,3,0.9611,Very Hard
amon,noma,4,0.9634,Very Hard
enos,sone,4,0.9639,Very Hard
coom,mooc,4,0.9643,Very Hard
avo,ova,3,0.9648,Very Hard
delos,soled,5,0.9649,Very Hard
abas,saba,4,0.9659,Very Hard
stu,uts,3,0.966,Very Hard
hales,selah,5,0.9675,Very Hard
oat,tao,3,0.9676,Very Hard
arb,bra,3,0.9685,Very Hard
dahs,shad,4,0.9716,Very Hard
grus,surg,4,0.9722,Very Hard
eon,noe,3,0.9724,Very Hard
aryl,lyra,4,0.9734,Very Hard
pes,sep,3,0.9744,Very Hard
delbert,trebled,7,0.9746,Very Hard
caw,wac,3,0.9747,Very Hard
ayr,rya,3,0.9752,Very Hard
errol,lorre,5,0.978,Very Hard
pols,slop,4,0.9796,Very Hard
desserts,stressed,8,0.9798,Very Hard
ital,lati,4,0.9809,Very Hard
ait,tia,3,0.9811,Very Hard
silos,solis,5,0.9822,Very Hard
aril,lira,4,0.9831,Very Hard
resew,weser,5,0.9835,Very Hard
lxx,xxl,3,0.9852,Very Hard
hopi,ipoh,4,0.9858,Very Hard
darter,retrad,6,0.9859,Very Hard
aral,lara,4,0.9861,Very Hard
avid,diva,4,0.9884,Very Hard
poons,snoop,5,0.9888,Very Hard
rets,ster,4,0.9893,Very Hard
anal,lana,4,0.9913,Very Hard
doh,hod,3,0.9914,Very Hard
saps,spas,4,0.9919,Very Hard
smut,tums,4,0.9922,Very Hard
knaps,spank,5,0.9937,Very Hard
bod,dob,3,0.9958,Very Hard
rebut,tuber,5,0.9963,Very Hard
camus,sumac,5,0.998,Very Hard
aneles,selena,6,1.0,Insane
deffer,reffed,6,1.0,Insane
dialer,relaid,6,1.0,Insane
eviler,relive,6,1.0,Insane
looter,retool,6,1.0,Insane
recaps,spacer,6,1.0,Insane
rennet,tenner,6,1.0,Insane
sleets,steels,6,1.0,Insane
sprits,stirps,6,1.0,Insane
airts,stria,5,1.0,Insane
dedal,laded,5,1.0,Insane
ladon,nodal,5,1.0,Insane
marcs,scram,5,1.0,Insane
nonet,tenon,5,1.0,Insane
occas,sacco,5,1.0,Insane
pacer,recap,5,1.0,Insane
resat,taser,5,1.0,Insane
sakis,sikas,5,1.0,Insane
sauks,skuas,5,1.0,Insane
sprat,tarps,5,1.0,Insane
stows,swots,5,1.0,Insane
abut,tuba,4,1.0,Insane
amah,hama,4,1.0,Insane
anam,mana,4,1.0,Insane
auks,skua,4,1.0,Insane
bots,stob,4,1.0,Insane
gorp,prog,4,1.0,Insane
macs,scam,4,1.0,Insane
ofay,yafo,4,1.0,Insane
oohs,shoo,4,1.0,Insane
pees,seep,4,1.0,Insane
prat,tarp,4,1.0,Insane
rimy,ymir,4,1.0,Insane
spay,yaps,4,1.0,Insane
spiv,vips,4,1.0,Insane
stet,tets,4,1.0,Insane
swat,taws,4,1.0,Insane
swot,tows,4,1.0,Insane
abm,mba,3,1.0,Insane
abs,sba,3,1.0,Insane
apc,cpa,3,1.0,Insane
api,ipa,3,1.0,Insane
atp,pta,3,1.0,Insane
avi,iva,3,1.0,Insane
cav,vac,3,1.0,Insane
cpu,upc,3,1.0,Insane
ddt,tdd,3,1.0,Insane
dep,ped,3,1.0,Insane
dts,std,3,1.0,Insane
duh,hud,3,1.0,Insane
dui,iud,3,1.0,Insane
dup,pud,3,1.0,Insane
fps,spf,3,1.0,Insane
gev,veg,3,1.0,Insane
gro,org,3,1.0,Insane
hhs,shh,3,1.0,Insane
ibo,obi,3,1.0,Insane
ids,sdi,3,1.0,Insane
isp,psi,3,1.0,Insane
kor,rok,3,1.0,Insane
mho,ohm,3,1.0,Insane
mys,sym,3,1.0,Insane
pow,wop,3,1.0,Insane
pps,spp,3,1.0,Insane
pwt,twp,3,1.0,Insane
